,models,FAR=0.005,FAR=0.01,FAR=0.05,FAR=0.1
0,$u_{SCF}$,0.8,1.14,3.34,6.14
1,$u_{vMF}$,0.72,1.1,4.26,8.2
2,$u_{power}$,0.66,1.0,4.18,7.98
3,$u_{baseline}$,0.76,1.22,4.82,9.62
4,$u_{vMF} + u_{SCF}$,0.84,0.92,3.0,6.76
5,$u_{power} + u_{SCF}$,0.74,1.02,3.08,6.5
6,$u_{baseline} + u_{SCF}$,0.66,1.0,3.72,7.66
