,models,FAR=0.005,FAR=0.01,FAR=0.05,FAR=0.1
0,$u_{SCF}$,11.32,24.04,122.4,249.02
1,$u_{vMF}$,4.52,6.74,43.5,115.6
2,$u_{power}$,4.42,6.58,42.38,112.32
3,$u_{baseline}$,4.6,6.92,44.76,118.62
4,$u_{vMF} + u_{SCF}$,5.44,8.42,48.42,116.82
5,$u_{power} + u_{SCF}$,5.06,6.74,44.52,114.04
6,$u_{baseline} + u_{SCF}$,4.54,6.88,45.5,119.46
