,models,FAR=0.005,FAR=0.01,FAR=0.05,FAR=0.1
0,$u_{SCF}$,0.2893,0.2907,0.2937,0.2944
1,$u_{vMF}$,0.2908,0.2916,0.2928,0.293
2,$u_{power}$,0.2907,0.2915,0.2928,0.293
3,$u_{baseline}$,0.2908,0.2916,0.2927,0.2929
4,$u_{vMF} + u_{SCF}$,0.2911,0.2924,0.2938,0.2937
5,$u_{power} + u_{SCF}$,0.2924,0.293,0.2937,0.2937
6,$u_{baseline} + u_{SCF}$,0.2922,0.2927,0.2936,0.2936
