,models,FAR=0.005,FAR=0.01,FAR=0.05,FAR=0.1
0,$u_{SCF}$,35.4,35.06,32.86,30.06
1,$u_{vMF}$,55.38,53.36,48.72,46.12
2,$u_{power}$,55.54,53.82,48.86,46.18
3,$u_{baseline}$,55.38,53.36,48.86,45.96
4,$u_{vMF} + u_{SCF}$,37.24,37.82,39.78,41.8
5,$u_{power} + u_{SCF}$,39.7,39.1,41.04,41.4
6,$u_{baseline} + u_{SCF}$,46.32,45.2,43.54,41.86
