,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,927,59,23,132,1141,0.9771269773407439,0.09864850484197084,0.9412612612612613
1,$u_{SCF}$,453,87,13,142,695,0.9741342454040188,0.04820687453442588,0.9632722084236116
2,$u_{SCF}$,90,199,4,151,444,0.9621633176571184,0.009577524741938917,0.9759323503902863
3,$u_{SCF}$,42,253,3,152,450,0.9563916203505771,0.004469511546238161,0.9754714924234165
4,$u_{vMF}$,655,69,46,195,965,0.9677318621838243,0.07161600699759457,0.9506620992893297
5,$u_{vMF}$,264,85,22,209,580,0.9669109947643979,0.02868629794632185,0.9695506089878202
6,$u_{vMF}$,19,119,5,230,373,0.9619068115786076,0.0020084566596194502,0.9795627636841816
7,$u_{vMF}$,17,139,4,237,397,0.9586056644880174,0.0017758278491590933,0.977940767905762
8,$u_{power}$,652,70,46,195,963,0.9676277714166753,0.07128799475180407,0.9507542827921248
9,$u_{power}$,263,85,22,209,579,0.9669109947643979,0.028577637726828208,0.9696015120491416
10,$u_{power}$,19,120,5,230,374,0.9617786391042205,0.002007395668251453,0.9794956140350878
11,$u_{power}$,17,143,4,237,401,0.958151700087184,0.0017750861438863945,0.9777036419238253
12,$u_{baseline}$,669,67,50,196,982,0.967429760665973,0.07317073170731707,0.9498365345320802
13,$u_{baseline}$,272,85,26,207,590,0.9667050570620878,0.02955879156705064,0.9690386230058774
14,$u_{baseline}$,20,119,6,229,374,0.9619027120103315,0.0021139414438220063,0.9795068493150686
15,$u_{baseline}$,18,139,4,237,398,0.9586056644880174,0.001880288310874334,0.9778864318257585
16,$u_{vMF} + u_{SCF}$,655,68,45,195,963,0.9679333680374804,0.07160034980323568,0.9507593189139438
17,$u_{vMF} + u_{SCF}$,269,84,22,207,582,0.967197652483756,0.02920421235479318,0.9694327731092437
18,$u_{vMF} + u_{SCF}$,28,134,3,173,338,0.9666594966659496,0.0029613960867265997,0.9815441738560664
19,$u_{vMF} + u_{SCF}$,20,189,3,172,384,0.9607208373799504,0.002108370229812355,0.9788894997251236
20,$u_{power} + u_{SCF}$,653,67,45,195,960,0.9680274942720266,0.0713583214949186,0.9508951406649617
21,$u_{power} + u_{SCF}$,267,84,22,206,579,0.9673058786545111,0.028990228013029317,0.9695919331967858
22,$u_{power} + u_{SCF}$,21,121,3,220,365,0.9629150495903407,0.0022158911047799935,0.9799769597893466
23,$u_{power} + u_{SCF}$,16,141,3,211,371,0.9612699105389483,0.0016689266715343694,0.979380870338465
24,$u_{baseline} + u_{SCF}$,675,66,43,191,975,0.968736973739058,0.07371409850387682,0.9501712066233966
25,$u_{baseline} + u_{SCF}$,280,79,22,201,582,0.9682939632545932,0.03034243606415258,0.9694134959007779
26,$u_{baseline} + u_{SCF}$,22,117,4,218,361,0.963426475347934,0.002319696330662168,0.9801876955161626
27,$u_{baseline} + u_{SCF}$,16,130,3,224,373,0.9610262008733624,0.001667882831231106,0.9792535736136604
