,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,900,47,21,111,1079,0.9801530103115644,0.10119181470654373,0.9424809424809425
1,$u_{SCF}$,441,70,12,120,643,0.9776028384521566,0.04958398920620643,0.964819171636483
2,$u_{SCF}$,88,160,4,128,380,0.967623905089256,0.0098943107713065,0.9786923853313895
3,$u_{SCF}$,42,207,3,129,381,0.9624126843330746,0.004722284686305375,0.9785243221915337
4,$u_{vMF}$,442,54,33,181,710,0.9719224724986905,0.05282026768642448,0.9631436877076411
5,$u_{vMF}$,156,63,13,190,422,0.971842913094104,0.01842664776754075,0.9775340715502555
6,$u_{vMF}$,17,78,4,203,302,0.9687088274044796,0.0019307211811470755,0.9831736126587922
7,$u_{vMF}$,14,86,3,210,313,0.9665061050744931,0.0015579790785666592,0.9821845295691274
8,$u_{power}$,436,54,32,181,703,0.9720243084660519,0.05209702473413789,0.9634937944643506
9,$u_{power}$,154,65,13,190,422,0.9716251985177342,0.018186112423240433,0.9775244993608863
10,$u_{power}$,17,79,4,204,304,0.9684580723156391,0.0019287497163603359,0.9830432842481034
11,$u_{power}$,14,86,1,209,310,0.9667415730337079,0.0015533118828359037,0.982303915972143
12,$u_{baseline}$,449,53,38,183,723,0.9713149078726968,0.05370171032173185,0.962498054878365
13,$u_{baseline}$,171,63,15,192,441,0.9714134462678666,0.0201936702881436,0.9765313181842371
14,$u_{baseline}$,18,77,4,203,302,0.9688117724577202,0.002043828772567276,0.9831717374345259
15,$u_{baseline}$,15,86,3,210,314,0.9664985994397759,0.0016688918558077437,0.9821245588067858
16,$u_{vMF} + u_{SCF}$,449,52,31,177,709,0.972734899328859,0.053599140503760294,0.9631898655313846
17,$u_{vMF} + u_{SCF}$,156,61,9,181,407,0.9733771743742045,0.018385385975250444,0.9783060604445393
18,$u_{vMF} + u_{SCF}$,28,89,3,133,253,0.9749777580071174,0.0031386615850241004,0.9857761286332716
19,$u_{vMF} + u_{SCF}$,17,136,3,131,287,0.9698391420911529,0.0018971096975783953,0.9837402980001133
20,$u_{power} + u_{SCF}$,437,52,31,177,697,0.9727320398531725,0.05216042014800668,0.9637865641398659
21,$u_{power} + u_{SCF}$,150,62,11,184,407,0.9727523324851569,0.017686593562079942,0.9783014341312576
22,$u_{power} + u_{SCF}$,17,65,3,153,238,0.9755503927425601,0.0019157088122605363,0.9866845697661408
23,$u_{power} + u_{SCF}$,16,78,3,147,244,0.974344548216496,0.0017726567693330379,0.9861063660175378
24,$u_{baseline} + u_{SCF}$,469,51,31,173,724,0.9732255354892902,0.05590654428418167,0.962413041221057
25,$u_{baseline} + u_{SCF}$,172,55,12,179,418,0.973879804629433,0.020247204237786934,0.977720925274491
26,$u_{baseline} + u_{SCF}$,17,63,3,188,271,0.9719739600573761,0.0019209039548022599,0.9848510257700263
27,$u_{baseline} + u_{SCF}$,15,70,2,190,277,0.9705021391578473,0.0016609456317129886,0.9841867899754524
