,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,992,85,62,207,1346,0.9633919338159256,0.09996976720749773,0.9326258884773251
1,$u_{SCF}$,495,117,40,229,881,0.9600827300930713,0.049884107628741306,0.9547020412360533
2,$u_{SCF}$,99,270,13,256,638,0.9442605997931748,0.009976821525748261,0.9662433862433862
3,$u_{SCF}$,48,338,10,259,655,0.9372285418821096,0.004837246800362793,0.9651243277780736
4,$u_{vMF}$,992,85,62,207,1346,0.9633919338159256,0.09996976720749773,0.9326258884773251
5,$u_{vMF}$,495,117,40,229,881,0.9600827300930713,0.049884107628741306,0.9547020412360533
6,$u_{vMF}$,99,270,13,256,638,0.9442605997931748,0.009976821525748261,0.9662433862433862
7,$u_{vMF}$,48,338,10,259,655,0.9372285418821096,0.004837246800362793,0.9651243277780736
8,$u_{power}$,991,85,62,207,1345,0.9633919338159256,0.09986899123249017,0.9326725734594785
9,$u_{power}$,496,117,40,229,882,0.9600827300930713,0.049984883603748864,0.9546529562982006
10,$u_{power}$,99,270,13,256,638,0.9442605997931748,0.009976821525748261,0.9662433862433862
11,$u_{power}$,48,338,10,259,655,0.9372285418821096,0.004837246800362793,0.9651243277780736
12,$u_{baseline}$,992,85,62,207,1346,0.9633919338159256,0.09996976720749773,0.9326258884773251
13,$u_{baseline}$,496,117,40,229,882,0.9600827300930713,0.049984883603748864,0.9546529562982006
14,$u_{baseline}$,99,270,13,256,638,0.9442605997931748,0.009976821525748261,0.9662433862433862
15,$u_{baseline}$,49,338,10,259,656,0.9372285418821096,0.0049380227753703515,0.9650729421786817
16,$u_{vMF} + u_{SCF}$,992,85,62,207,1346,0.9633919338159256,0.09996976720749773,0.9326258884773251
17,$u_{vMF} + u_{SCF}$,495,117,40,229,881,0.9600827300930713,0.049884107628741306,0.9547020412360533
18,$u_{vMF} + u_{SCF}$,99,270,13,256,638,0.9442605997931748,0.009976821525748261,0.9662433862433862
19,$u_{vMF} + u_{SCF}$,48,338,10,259,655,0.9372285418821096,0.004837246800362793,0.9651243277780736
20,$u_{power} + u_{SCF}$,991,85,62,207,1345,0.9633919338159256,0.09986899123249017,0.9326725734594785
21,$u_{power} + u_{SCF}$,496,117,40,229,882,0.9600827300930713,0.049984883603748864,0.9546529562982006
22,$u_{power} + u_{SCF}$,99,270,13,256,638,0.9442605997931748,0.009976821525748261,0.9662433862433862
23,$u_{power} + u_{SCF}$,48,338,10,259,655,0.9372285418821096,0.004837246800362793,0.9651243277780736
24,$u_{baseline} + u_{SCF}$,992,85,62,207,1346,0.9633919338159256,0.09996976720749773,0.9326258884773251
25,$u_{baseline} + u_{SCF}$,496,117,40,229,882,0.9600827300930713,0.049984883603748864,0.9546529562982006
26,$u_{baseline} + u_{SCF}$,99,270,13,256,638,0.9442605997931748,0.009976821525748261,0.9662433862433862
27,$u_{baseline} + u_{SCF}$,49,338,10,259,656,0.9372285418821096,0.0049380227753703515,0.9650729421786817
