,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,916,49,21,120,1106,0.9793073404487039,0.10009834990711397,0.9420639078051335
1,$u_{SCF}$,449,73,12,129,663,0.9766935308211718,0.04906567588241722,0.9643529222001183
2,$u_{SCF}$,89,175,4,137,405,0.9655848399041603,0.009725713036826577,0.9776699564426311
3,$u_{SCF}$,42,226,3,138,409,0.9600304944456546,0.004589662331985576,0.9773269028216642
4,$u_{vMF}$,535,62,38,190,825,0.9697222802255168,0.061107938320959454,0.957476418741302
5,$u_{vMF}$,205,74,17,196,492,0.9697735650342285,0.02319529305272686,0.9739792680346944
6,$u_{vMF}$,18,96,4,213,331,0.9659486510008704,0.001969149983590417,0.9817015865995908
7,$u_{vMF}$,16,108,4,220,348,0.9632540121748755,0.0017208001720800173,0.9803987833727611
8,$u_{power}$,531,62,38,190,821,0.969719118721938,0.060644129739607124,0.9576695024490848
9,$u_{power}$,202,74,17,196,489,0.969767196881913,0.022850678733031673,0.9741283529971959
10,$u_{power}$,18,96,4,214,332,0.9658026573731213,0.001966998142279532,0.9816249723267655
11,$u_{power}$,16,110,3,220,349,0.9630902238971403,0.001718397594243368,0.9803125176284763
12,$u_{baseline}$,546,61,45,189,841,0.9692098945830289,0.06238574040219379,0.9566785143975685
13,$u_{baseline}$,218,71,23,199,511,0.9691481520480152,0.024671797193300135,0.9729901157566467
14,$u_{baseline}$,19,93,5,213,330,0.9661588683351469,0.002078092529804222,0.9817558602388323
15,$u_{baseline}$,17,107,4,220,348,0.9633484663935333,0.0018275639647387658,0.980392156862745
16,$u_{vMF} + u_{SCF}$,540,62,37,188,827,0.9700167154199749,0.061636799452117336,0.9573645409083879
17,$u_{vMF} + u_{SCF}$,201,71,15,194,481,0.9704672502900538,0.02270673294170809,0.9745273526452365
18,$u_{vMF} + u_{SCF}$,28,108,3,149,288,0.971600218459858,0.003050773589017215,0.9840690341851974
19,$u_{vMF} + u_{SCF}$,18,159,3,146,326,0.9662206624259706,0.0019533369506239827,0.9818343920650842
20,$u_{power} + u_{SCF}$,531,62,37,188,818,0.9700135826977327,0.060602602145628855,0.9578046012586402
21,$u_{power} + u_{SCF}$,199,73,15,195,482,0.9701602699283003,0.022488416770256526,0.9744757466638424
22,$u_{power} + u_{SCF}$,17,90,3,176,286,0.9705914507488794,0.001850642281733072,0.9841480988803902
23,$u_{power} + u_{SCF}$,16,105,3,168,292,0.969397937687105,0.0017178441056474125,0.9835752053099336
24,$u_{baseline} + u_{SCF}$,555,55,38,182,830,0.9712282904373299,0.06324786324786325,0.9572076716848835
25,$u_{baseline} + u_{SCF}$,210,65,15,191,481,0.9713742473856555,0.023685991427926913,0.9745138557727971
26,$u_{baseline} + u_{SCF}$,18,85,3,201,307,0.9684291020318986,0.0019609979300577404,0.9829794311692631
27,$u_{baseline} + u_{SCF}$,16,89,3,206,314,0.9668999222481395,0.0017148981779206859,0.9822839088241931
