,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,694,26,13,63,796,0.9862958484482064,0.1037214168285757,0.948572166946634
1,$u_{SCF}$,341,34,6,70,451,0.9852210130323794,0.0509639814676431,0.9701660382350996
2,$u_{SCF}$,67,95,2,74,238,0.9770253929866989,0.010013450904199672,0.9838993370315249
3,$u_{SCF}$,33,124,1,75,233,0.9731291146043262,0.0049319982065461065,0.9841701202527345
4,$u_{vMF}$,149,15,12,98,274,0.9865735767991407,0.030887230514096187,0.9853035829221198
5,$u_{vMF}$,40,16,8,104,168,0.986050566695728,0.008067769261799113,0.9908015768725361
6,$u_{vMF}$,14,21,1,118,154,0.9838560885608856,0.002563163676309044,0.9910558717621094
7,$u_{vMF}$,10,23,1,126,160,0.982174688057041,0.0017485574401119076,0.9904134212103055
8,$u_{power}$,130,15,11,99,255,0.9865461199009794,0.026842865992153624,0.9862807338462366
9,$u_{power}$,36,15,7,108,166,0.985818697501909,0.007247835715723777,0.9908991228070175
10,$u_{power}$,12,22,1,122,157,0.9832000926891438,0.0021806287479556605,0.990834257691634
11,$u_{power}$,10,26,1,129,166,0.9812792511700468,0.0017238407171177384,0.9899515738498789
12,$u_{baseline}$,159,14,15,98,286,0.9863337996341333,0.032844453625284036,0.9846385218605651
13,$u_{baseline}$,40,15,8,103,166,0.9862490450725745,0.008046670690002011,0.9908991228070174
14,$u_{baseline}$,13,22,1,118,154,0.983727639930756,0.0023770341927226183,0.9910475526101616
15,$u_{baseline}$,10,23,1,125,159,0.9822703474535935,0.0017452006980802793,0.9904613354130422
16,$u_{vMF} + u_{SCF}$,160,10,4,66,240,0.9912558749590119,0.0320962888665998,0.9869409076069214
17,$u_{vMF} + u_{SCF}$,69,19,3,71,162,0.9888636091486049,0.011931523430745288,0.9902866051085262
18,$u_{vMF} + u_{SCF}$,17,44,1,74,136,0.9840994120791021,0.002556390977443609,0.9908516076954124
19,$u_{vMF} + u_{SCF}$,14,65,1,74,154,0.9811371597952034,0.0020858164481525627,0.9895366218236173
20,$u_{power} + u_{SCF}$,151,9,4,62,226,0.9916879086778233,0.029544120524359226,0.9875289703123274
21,$u_{power} + u_{SCF}$,51,16,2,66,135,0.9901972225463881,0.009164420485175202,0.9921075708857059
22,$u_{power} + u_{SCF}$,13,24,2,70,109,0.9875292283710054,0.0020198881292728403,0.9928818650819564
23,$u_{power} + u_{SCF}$,12,32,1,72,117,0.9860242246772262,0.0018124150430448573,0.992165003683118
24,$u_{baseline} + u_{SCF}$,154,9,10,78,251,0.9895146470651821,0.03153798894122466,0.9864755644161862
25,$u_{baseline} + u_{SCF}$,43,10,5,79,137,0.9896861970594689,0.008565737051792829,0.9924630026957143
26,$u_{baseline} + u_{SCF}$,14,14,1,76,105,0.9893964110929854,0.002521613832853026,0.9938549774682507
27,$u_{baseline} + u_{SCF}$,9,15,1,77,102,0.9888086642599277,0.0015453296703296703,0.9938316400580552
