,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,874,42,19,102,1037,0.9815985549785504,0.10121598147075854,0.9437238834319206
1,$u_{SCF}$,430,63,10,111,614,0.9792278166629036,0.049797336421540245,0.965816724195524
2,$u_{SCF}$,85,147,4,117,353,0.9697448634003161,0.009843659525188187,0.9798665373866424
3,$u_{SCF}$,40,192,3,118,353,0.9646647098667871,0.004632310364794441,0.9797626555065068
4,$u_{vMF}$,382,48,28,173,631,0.9738335435056746,0.04788767707158079,0.9670753978606834
5,$u_{vMF}$,132,54,12,181,379,0.9737401658515841,0.016322492889823174,0.9797293683478633
6,$u_{vMF}$,17,67,4,193,281,0.9708126036484246,0.002012310606060606,0.9842515272095499
7,$u_{vMF}$,14,73,1,199,287,0.9691106585200272,0.0016175621028307336,0.9835218464718379
8,$u_{power}$,374,47,28,174,623,0.9738280428841707,0.0468730417345532,0.9674724586226701
9,$u_{power}$,129,55,12,181,377,0.9736338507335743,0.015951527142327192,0.9798320226822875
10,$u_{power}$,17,69,4,194,284,0.9704286188946727,0.002008506616257089,0.984052111410602
11,$u_{power}$,14,76,1,198,289,0.9687748381968888,0.0016117890858853327,0.9833458191667146
12,$u_{baseline}$,401,47,34,174,656,0.9732142857142857,0.05029474476357707,0.9658084019597624
13,$u_{baseline}$,140,54,14,184,392,0.9732171325326815,0.017318159327065808,0.9790441569549877
14,$u_{baseline}$,18,66,4,195,283,0.9706890830660325,0.002129673450070989,0.9841323240818615
15,$u_{baseline}$,14,73,2,200,289,0.9688808419146769,0.0016173752310536045,0.9834032045023833
16,$u_{vMF} + u_{SCF}$,384,45,28,172,629,0.9742376445846478,0.048102217211574594,0.9671694764862466
17,$u_{vMF} + u_{SCF}$,130,48,5,163,346,0.9769280068361461,0.01598819333415324,0.9814357763708552
18,$u_{vMF} + u_{SCF}$,27,84,3,127,241,0.9757945933717905,0.0031206657420249652,0.9862246356101743
19,$u_{vMF} + u_{SCF}$,17,128,3,121,269,0.9713571266196863,0.0019551466359977,0.9845055008352054
20,$u_{power} + u_{SCF}$,373,45,25,172,615,0.9745343575712933,0.046683354192740924,0.9678633014579088
21,$u_{power} + u_{SCF}$,127,48,7,175,357,0.9754797441364605,0.015653888820411684,0.980865090850619
22,$u_{power} + u_{SCF}$,17,59,3,128,207,0.9786923853313895,0.001982276119402985,0.9882792593850858
23,$u_{power} + u_{SCF}$,16,71,2,131,220,0.976709670053659,0.0018319212273872224,0.9873052510098095
24,$u_{baseline} + u_{SCF}$,396,44,26,164,630,0.9753372681281619,0.04946908182386009,0.9670811997073885
25,$u_{baseline} + u_{SCF}$,143,46,10,169,368,0.976,0.017615176151761516,0.9802871223484037
26,$u_{baseline} + u_{SCF}$,16,51,3,172,242,0.9748693428221951,0.0018823529411764706,0.9863861386138614
27,$u_{baseline} + u_{SCF}$,14,56,2,180,252,0.9729145328325937,0.0016080863772111188,0.9854755043227666
