,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,667,26,12,60,765,0.9864827586206897,0.10317092034029389,0.9492335257814055
1,$u_{SCF}$,328,33,6,66,433,0.9855172413793103,0.05073472544470224,0.9705902329688243
2,$u_{SCF}$,63,93,2,70,228,0.9772413793103448,0.00974477958236659,0.9841644672871233
3,$u_{SCF}$,32,121,1,71,225,0.9733793103448276,0.004949729311678267,0.9843085291861358
4,$u_{vMF}$,134,10,11,95,250,0.98750942177237,0.03026196928635953,0.9865533562822719
5,$u_{vMF}$,36,12,7,97,152,0.9873279440681669,0.007893005919754439,0.9916611806012728
6,$u_{vMF}$,13,17,1,108,139,0.9854149785854844,0.00256107171000788,0.9919021264200407
7,$u_{vMF}$,10,21,1,117,149,0.9834029850746269,0.0018726591760299626,0.9910354370976475
8,$u_{power}$,121,10,10,94,235,0.9877035918455399,0.027227722772277228,0.9873308534152784
9,$u_{power}$,33,13,7,97,150,0.9872033249480476,0.007217847769028871,0.9917591473464455
10,$u_{power}$,12,20,1,114,147,0.9842877094972067,0.0023423775131758734,0.9913838579215755
11,$u_{power}$,9,22,1,121,153,0.9826086956521739,0.001655933762649494,0.9906849315068493
12,$u_{baseline}$,142,12,14,94,262,0.9870661780556155,0.0320036060401172,0.985897297879212
13,$u_{baseline}$,34,12,8,98,152,0.9870967741935484,0.007439824945295405,0.9916511040316379
14,$u_{baseline}$,13,16,1,105,135,0.9858435831979577,0.0025505199136747108,0.9921177088807146
15,$u_{baseline}$,10,19,1,115,145,0.9838536060279871,0.0018677624206200972,0.9912634813520516
16,$u_{vMF} + u_{SCF}$,149,6,4,59,218,0.9923537234042553,0.03176295033041995,0.9879744042365401
17,$u_{vMF} + u_{SCF}$,65,18,3,64,150,0.98961895456766,0.011760448706350643,0.9908290535583273
18,$u_{vMF} + u_{SCF}$,17,40,1,71,129,0.9846638367794057,0.0026512788521522146,0.9911101922679346
19,$u_{vMF} + u_{SCF}$,14,59,1,71,145,0.9819060773480663,0.002162162162162162,0.9899046160272923
20,$u_{power} + u_{SCF}$,136,7,4,60,207,0.9920197819489716,0.028227480282274803,0.988409205442634
21,$u_{power} + u_{SCF}$,47,11,2,62,122,0.991074616208497,0.008847891566265061,0.9927285731314818
22,$u_{power} + u_{SCF}$,13,22,1,68,104,0.9878957169459963,0.002097789252864289,0.9930471988233722
23,$u_{power} + u_{SCF}$,12,29,0,70,111,0.9865067466266867,0.0018814675446848542,0.9923904846781382
24,$u_{baseline} + u_{SCF}$,140,8,9,71,228,0.9904638058084092,0.031201248049921998,0.9876810028095959
25,$u_{baseline} + u_{SCF}$,36,9,3,69,117,0.9910812596344417,0.007770343190157565,0.993542689993929
26,$u_{baseline} + u_{SCF}$,13,10,1,70,94,0.9905096660808436,0.0025096525096525097,0.9944712386778026
27,$u_{baseline} + u_{SCF}$,9,13,1,74,97,0.989351403678606,0.001651073197578426,0.9941029849838896
