,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,717,27,13,66,823,0.9861038280020975,0.1035229569737222,0.9481313417785341
1,$u_{SCF}$,351,39,6,73,469,0.9845306764551652,0.05067860236788911,0.9697204467686745
2,$u_{SCF}$,68,103,2,77,250,0.976140534871526,0.009818076812012706,0.9834896314885748
3,$u_{SCF}$,33,133,1,78,245,0.9722076560041951,0.004764654923476754,0.9837500829077402
4,$u_{vMF}$,164,18,14,112,308,0.9845807902345005,0.03144774688398849,0.9835276500160445
5,$u_{vMF}$,46,20,9,117,192,0.9841425002715325,0.008602954927997007,0.9895162171016708
6,$u_{vMF}$,14,23,1,131,169,0.9822166131252869,0.002398081534772182,0.990226129200162
7,$u_{vMF}$,10,27,1,138,176,0.9803852061916578,0.0016417665407978984,0.989505068574836
8,$u_{power}$,148,19,12,112,291,0.9846698113207547,0.028319938767699962,0.9844059803869031
9,$u_{power}$,40,21,8,116,185,0.9842271293375394,0.007461294534601754,0.9898802034899622
10,$u_{power}$,13,27,1,133,174,0.9814366424535916,0.0022105084169358954,0.9898825444819165
11,$u_{power}$,10,30,1,142,183,0.9794047619047619,0.0016249593760155996,0.9890004207489331
12,$u_{baseline}$,175,16,16,104,311,0.9853951890034365,0.03338420450209843,0.9833360124310132
13,$u_{baseline}$,43,19,9,115,186,0.9844514515602913,0.008026880716819115,0.9898327320432928
14,$u_{baseline}$,14,23,2,130,169,0.9821961865380198,0.0023939808481532147,0.9902148109547797
15,$u_{baseline}$,10,27,1,139,177,0.9802577136777397,0.0016406890894175555,0.9894397708967245
16,$u_{vMF} + u_{SCF}$,175,12,4,72,263,0.9904513888888888,0.03278381416260772,0.9857983692423995
17,$u_{vMF} + u_{SCF}$,75,20,3,73,171,0.9887072109163628,0.012390550140426235,0.9899299216771685
18,$u_{vMF} + u_{SCF}$,18,47,2,83,150,0.9827653740697219,0.002610587382160986,0.990134175217048
19,$u_{vMF} + u_{SCF}$,14,73,2,84,173,0.9790899526564966,0.002014388489208633,0.9885149040695743
20,$u_{power} + u_{SCF}$,165,12,4,69,250,0.9907073357384935,0.030515997780654707,0.986393817350604
21,$u_{power} + u_{SCF}$,53,18,3,72,146,0.9893373079568906,0.009087791495198902,0.991611123879568
22,$u_{power} + u_{SCF}$,13,26,2,72,113,0.987298361488632,0.001945816494536746,0.9927837026630053
23,$u_{power} + u_{SCF}$,13,32,1,75,121,0.9859503057109406,0.0018931119848551042,0.9920806335493162
24,$u_{baseline} + u_{SCF}$,175,11,10,88,284,0.9882517784005174,0.03316906747536012,0.9847492213510901
25,$u_{baseline} + u_{SCF}$,48,11,6,89,154,0.9884026258205689,0.008865903213889916,0.9915486774228953
26,$u_{baseline} + u_{SCF}$,14,15,2,87,118,0.9879378334493157,0.0023600809170600135,0.9931211379270141
27,$u_{baseline} + u_{SCF}$,9,20,1,92,122,0.9865042398184641,0.0014560750687591004,0.992669150342507
